"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"bestia";0,00227366294255764;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0;0
"bezpieczny";0,00131038940858619;0,00181384813000521;0;0,00178530402495506;0;0;0,00122465899258448;0;0;0;0;0;0,00294322526755563;0;0;0,00576409936925444;0,00304372564254533;0,00535591207486517;0
"bi<e6>";0;0;0;0,00464653435399655;0;0;0,0127494701214665;0;0;0;0;0;0;0;0;0;0;0;0
"bia<b3>a";0;0;0;0;0;0;0;0;0;0,00348490076549741;0,0398706871338684;0;0;0;0;0;0;0;0
"biblioteka";0,000786813970403775;0;0,00673032189653768;0,0032159191894758;0;0,004965966524544;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegn<b9><e6>";0,00157362794080755;0;0,00448688126435845;0;0;0;0,00220601326147555;0;0;0;0;0;0;0;0;0;0;0;0,00867925680866249
"billa";0,00186416871734157;0,0058058830219239;0;0;0,00587850996185967;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,00279941775952939;0;0;0;0;0;0;0;0,008266091925134;0,00545608900440856;0;0;0;0;0;0,0046975595574542;0,024798275775402;0
"biuro";0;0;0;0,00761935625957777;0;0,00196094625384568;0;0,00298204368725916;0;0;0;0;0;0;0;0;0;0;0
"blacka";0;0;0;0;0;0;0,00261331208314272;0;0;0;0;0;0;0;0;0,00615003467141439;0;0;0,0102817181958395
"blackiem";0;0;0;0;0;0;0,00318736753036662;0,00363709687955609;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;0,00236041243709563;0;0;0;0;0,00318736753036662;0;0;0;0;0;0;0;0;0;0;0;0
"bli<9f>niak";0,00341049441383646;0;0;0;0;0;0;0;0,0457454579358251;0;0;0;0;0;0;0;0;0;0
"bliski";0;0;0;0,00464653435399655;0;0,00239169919988482;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizna";0,0055925061520247;0;0,00265764971329584;0;0;0,00392189250769135;0;0;0;0;0;0;0;0;0;0;0;0;0
"bo<bf>e";0;0;0,00224344063217923;0;0,00744346858756154;0;0,00220601326147555;0,00251727605088867;0;0;0;0;0;0;0;0;0;0;0
"bo<bf>onarodzeniowy";0,00227366294255764;0;0;0;0,00358490895523575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00279941775952939;0;0,00275536397504467;0;0,00141826172205907;0;0;0,0271267523740313;0;0;0;0;0;0;0,00889607121734976;0;0;0
"boi";0,00058206685779574;0,00120855015459479;0;0,00237906296526814;0;0,00122456922880886;0,00163195781425165;0,00186222285859175;0;0;0;0;0;0;0;0;0;0;0
"boisko";0,00227366294255764;0;0;0,00464653435399655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"boj<b9>";0;0;0;0;0;0;0;0;0;0,00348490076549741;0,00306697593337449;0;0;0;0;0;0;0;0
"bole<e6>";0,00186416871734157;0;0;0;0;0,00196094625384568;0;0;0;0;0;0;0;0;0;0,00615003467141439;0;0;0
"bra<e6>";0,00058206685779574;0,00120855015459479;0;0,00237906296526814;0;0,00122456922880886;0;0;0;0;0,00471094904453946;0;0;0;0;0;0,00405601222615227;0;0
